run_accession;sample_accession;fastq_ftp;sample_alias
DRR234870;SAMD00232065;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234870/DRR234870_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234870/DRR234870_2.fastq.gz";SAMD00232065
DRR234871;SAMD00232066;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234871/DRR234871_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234871/DRR234871_2.fastq.gz";SAMD00232066
DRR234872;SAMD00232067;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234872/DRR234872_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234872/DRR234872_2.fastq.gz";SAMD00232067
DRR234873;SAMD00232068;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234873/DRR234873_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234873/DRR234873_2.fastq.gz";SAMD00232068
DRR234874;SAMD00232069;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234874/DRR234874_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234874/DRR234874_2.fastq.gz";SAMD00232069
DRR234875;SAMD00232070;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234875/DRR234875_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234875/DRR234875_2.fastq.gz";SAMD00232070
DRR234876;SAMD00232071;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234876/DRR234876_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234876/DRR234876_2.fastq.gz";SAMD00232071
DRR234877;SAMD00232072;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234877/DRR234877_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234877/DRR234877_2.fastq.gz";SAMD00232072
DRR234878;SAMD00232073;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234878/DRR234878_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234878/DRR234878_2.fastq.gz";SAMD00232073
DRR234879;SAMD00232074;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234879/DRR234879_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234879/DRR234879_2.fastq.gz";SAMD00232074
DRR234880;SAMD00232075;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234880/DRR234880_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234880/DRR234880_2.fastq.gz";SAMD00232075
DRR234881;SAMD00232076;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234881/DRR234881_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234881/DRR234881_2.fastq.gz";SAMD00232076
DRR234882;SAMD00232077;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234882/DRR234882_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234882/DRR234882_2.fastq.gz";SAMD00232077
DRR234883;SAMD00232078;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234883/DRR234883_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234883/DRR234883_2.fastq.gz";SAMD00232078
DRR234884;SAMD00232079;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234884/DRR234884_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234884/DRR234884_2.fastq.gz";SAMD00232079
DRR234885;SAMD00232080;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234885/DRR234885_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234885/DRR234885_2.fastq.gz";SAMD00232080
DRR234886;SAMD00232081;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234886/DRR234886_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234886/DRR234886_2.fastq.gz";SAMD00232081
DRR234887;SAMD00232082;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234887/DRR234887_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234887/DRR234887_2.fastq.gz";SAMD00232082
DRR234888;SAMD00232083;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234888/DRR234888_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234888/DRR234888_2.fastq.gz";SAMD00232083
DRR234889;SAMD00232084;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234889/DRR234889_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234889/DRR234889_2.fastq.gz";SAMD00232084
DRR234890;SAMD00232085;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234890/DRR234890_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234890/DRR234890_2.fastq.gz";SAMD00232085
DRR234891;SAMD00232086;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234891/DRR234891_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234891/DRR234891_2.fastq.gz";SAMD00232086
DRR234892;SAMD00232087;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234892/DRR234892_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234892/DRR234892_2.fastq.gz";SAMD00232087
DRR234893;SAMD00232088;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234893/DRR234893_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234893/DRR234893_2.fastq.gz";SAMD00232088
DRR234894;SAMD00232089;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234894/DRR234894_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234894/DRR234894_2.fastq.gz";SAMD00232089
DRR234895;SAMD00232090;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234895/DRR234895_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234895/DRR234895_2.fastq.gz";SAMD00232090
DRR234896;SAMD00232091;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234896/DRR234896_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234896/DRR234896_2.fastq.gz";SAMD00232091
DRR234897;SAMD00232092;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234897/DRR234897_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234897/DRR234897_2.fastq.gz";SAMD00232092
DRR234898;SAMD00232093;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234898/DRR234898_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234898/DRR234898_2.fastq.gz";SAMD00232093
DRR234899;SAMD00232094;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234899/DRR234899_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234899/DRR234899_2.fastq.gz";SAMD00232094
DRR234900;SAMD00232095;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234900/DRR234900_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234900/DRR234900_2.fastq.gz";SAMD00232095
DRR234901;SAMD00232096;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234901/DRR234901_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234901/DRR234901_2.fastq.gz";SAMD00232096
DRR234902;SAMD00232097;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234902/DRR234902_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234902/DRR234902_2.fastq.gz";SAMD00232097
DRR234903;SAMD00232098;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234903/DRR234903_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234903/DRR234903_2.fastq.gz";SAMD00232098
DRR234904;SAMD00232099;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234904/DRR234904_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234904/DRR234904_2.fastq.gz";SAMD00232099
DRR234905;SAMD00232100;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234905/DRR234905_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234905/DRR234905_2.fastq.gz";SAMD00232100
DRR234906;SAMD00232101;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234906/DRR234906_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234906/DRR234906_2.fastq.gz";SAMD00232101
